X,Y,R
0,0,4
40,0,4
80.0001,0,4
120,0,4
160,0,4
200.001,0,4
240.001,0,4
280.001,0,4
320.002,0,4
360.002,0,4
400.003,0,4
440.004,0,4
480.004,0,4
520.006,0,4
560.007,0,4
600.008,0,4
640.01,0,4
680.012,0,4
720.015,0,4
760.018,0,4
800.022,0,4
840.028,0,4
880.037,0,4
920.053,0,4
960.103,0,4
